Index, Insert, Search
1, 2, 1
2, 6, 14
3, 5, 22
4, 5, 37
5, 2, 45
6, 5, 53
7, 5, 66
8, 5, 76
9, 5, 92
10, 2, 101
11, 5, 114
12, 6, 129
13, 5, 145
14, 2, 153
15, 5, 171
16, 5, 195
17, 14, 160
18, 5, 188
19, 2, 206
20, 5, 195
21, 5, 223
22, 5, 279
23, 5, 234
24, 2, 245
25, 6, 270
26, 5, 290
27, 5, 331
28, 2, 298
29, 5, 329
30, 5, 343
31, 28, 378
32, 5, 414
33, 2, 385
34, 5, 377
35, 5, 376
36, 6, 379
37, 2, 387
38, 5, 405
39, 5, 433
40, 5, 499
41, 5, 448
42, 2, 420
43, 5, 468
44, 5, 518
45, 5, 485
46, 2, 519
47, 5, 520
48, 6, 506
49, 5, 531
50, 5, 621
51, 2, 544
52, 5, 584
53, 5, 590
54, 5, 564
55, 5, 635
56, 2, 637
57, 5, 619
58, 5, 682
59, 12, 640
60, 2, 746
61, 6, 636
62, 5, 650
63, 5, 755
64, 5, 720
65, 2, 711
66, 5, 762
67, 5, 633
68, 5, 819
69, 2, 712
70, 5, 767
71, 5, 766
72, 6, 750
73, 5, 813
74, 2, 938
75, 5, 863
76, 7, 811
77, 6, 824
78, 2, 907
79, 5, 816
80, 5, 990
81, 5, 928
82, 5, 875
83, 2, 902
84, 6, 875
85, 5, 1013
86, 5, 983
87, 5, 907
88, 2, 863
89, 5, 1005
90, 5, 864
91, 5, 1068
92, 2, 929
93, 5, 1072
94, 5, 1007
95, 6, 1044
96, 5, 1136
97, 2, 1130
98, 7, 1122
99, 5, 1204
100, 6, 1133
