Index, Insert, Search
1, 2, 1
2, 1, 1
3, 1, 1
4, 2, 1
5, 1, 1
6, 2, 1
7, 1, 1
8, 1, 1
9, 1, 1
10, 2, 1
11, 1, 1
12, 2, 1
13, 2, 1
14, 2, 1
15, 2, 1
16, 2, 1
17, 2, 1
18, 2, 1
19, 2, 1
20, 2, 1
21, 1, 1
22, 1, 1
23, 2, 1
24, 2, 1
25, 1, 1
26, 1, 1
27, 2, 1
28, 2, 1
29, 2, 1
30, 2, 1
31, 2, 1
32, 1, 1
33, 1, 1
34, 1, 1
35, 1, 1
36, 2, 1
37, 2, 1
38, 2, 1
39, 2, 1
40, 1, 1
41, 1, 1
42, 2, 1
43, 1, 1
44, 2, 1
45, 2, 1
46, 1, 1
47, 2, 1
48, 1, 1
49, 2, 1
50, 2, 2
51, 2, 1
52, 1, 1
53, 1, 1
54, 1, 1
55, 1, 2
56, 2, 1
57, 1, 1
58, 2, 2
59, 1, 2
60, 2, 1
61, 2, 1
62, 2, 2
63, 2, 2
64, 1, 1
65, 2, 1
66, 1, 1
67, 1, 2
68, 2, 2
69, 2, 3
70, 1, 2
71, 1, 2
72, 2, 2
73, 2, 1
74, 2, 1
75, 1, 2
76, 2, 1
77, 2, 2
78, 2, 2
79, 2, 1
80, 2, 1
81, 2, 2
82, 2, 1
83, 2, 1
84, 2, 2
85, 2, 1
86, 2, 1
87, 2, 1
88, 2, 1
89, 2, 1
90, 2, 2
91, 2, 1
92, 2, 1
93, 2, 3
94, 2, 2
95, 2, 2
96, 2, 1
97, 2, 1
98, 2, 1
99, 2, 1
100, 2, 1

